Draw Date ,s0,s0+,s1,s1+,s2,s2+,s3,s3+,s4,s4+,s5,s5+,s6
2017-02-08,1037,179,1113,153,341,48,53,1,1,0,0,0,1
2017-02-04,1058,171,1106,134,389,22,37,4,5,0,0,0,1
2017-02-01,1108,195,1041,152,342,31,51,1,5,0,0,0,1
2017-01-28,1150,172,1001,143,373,34,49,2,2,0,0,0,1
2017-01-25,1105,180,1043,146,370,37,43,0,2,0,0,0,1
2017-01-21,1127,185,1044,127,336,35,66,3,2,0,1,0,1
2017-01-18,1057,172,1086,157,342,52,51,4,5,0,0,0,1
2017-01-14,1097,172,1049,141,377,35,43,8,4,0,0,0,1
2017-01-11,1116,173,1068,137,351,29,50,1,0,1,0,0,1
2017-01-07,1142,200,1003,144,346,31,52,4,4,0,0,0,1
2017-01-04,1093,160,1096,129,348,37,58,3,2,0,0,0,1
2016-12-31,1082,164,1096,135,362,27,54,2,3,1,0,0,1
2016-12-28,1098,187,1044,146,365,31,44,7,4,0,0,0,1
2016-12-24,1136,162,1070,149,330,30,46,2,0,1,0,0,1
2016-12-21,1087,189,1049,137,380,38,42,4,0,0,0,0,1
2016-12-17,1067,185,1099,123,361,34,52,3,2,0,0,0,1
2016-12-14,1079,173,1056,146,368,41,52,5,6,0,0,0,1
2016-12-10,1125,186,1005,136,387,32,49,2,4,0,0,0,1
2016-12-07,1049,159,1073,154,376,42,64,4,5,0,0,0,1
2016-12-03,1058,174,1061,151,375,42,57,5,3,0,0,0,1
2016-11-30,1085,185,1054,146,358,35,58,3,2,0,0,0,1
2016-11-26,1051,158,1083,179,367,34,49,1,4,0,0,0,1
2016-11-23,1078,193,1109,137,339,31,31,4,4,0,0,0,1
2016-11-19,1158,182,999,140,343,39,58,2,5,0,0,0,1
2016-11-16,1043,186,1126,131,354,36,44,4,2,0,0,0,1
2016-11-12,1071,177,1135,128,320,34,54,6,1,0,0,0,1
2016-11-09,1075,165,1118,134,354,27,43,4,5,1,0,0,1
2016-11-05,1073,208,1094,135,330,29,48,4,5,0,0,0,1
2016-11-02,1104,179,1062,132,362,34,47,4,2,0,0,0,1
2016-10-29,1127,180,1077,104,350,45,34,3,6,0,0,0,1
2016-10-26,1113,177,1096,139,319,33,44,1,4,0,0,0,1
2016-10-22,1098,163,1099,135,331,44,45,4,7,0,0,0,1
2016-10-19,1069,202,1102,140,321,40,50,1,1,0,0,0,1
2016-10-15,1074,191,1065,141,346,43,60,2,3,1,0,0,1
2016-10-12,1074,192,1075,129,360,37,53,3,3,0,0,0,1
2016-10-08,1100,188,1020,128,403,37,44,1,5,0,0,0,1
2016-10-05,1069,184,1089,131,344,42,62,2,3,0,0,0,1
2016-10-01,1088,187,1091,131,360,29,29,5,4,2,0,0,1
2016-09-28,1108,175,1068,146,339,31,49,5,4,1,0,0,1
2016-09-24,1087,180,1100,132,335,39,47,6,0,0,0,0,1
2016-09-21,1040,193,1090,138,373,33,52,3,4,0,0,0,1
2016-09-17,1070,181,1043,149,384,40,50,7,2,0,0,0,1
2016-09-14,1121,179,1026,142,360,30,57,9,2,0,0,0,1
2016-09-10,1140,173,1055,144,323,34,51,4,2,0,0,0,1
2016-09-07,1100,179,1040,152,335,42,66,6,6,0,0,0,1
2016-09-03,1063,200,1061,141,358,42,56,1,4,0,0,0,1
2016-08-31,1102,197,1059,132,361,21,49,1,4,0,0,0,1
2016-08-27,1073,163,1093,146,379,20,46,2,4,0,0,0,1
2016-08-24,1073,203,1049,132,375,39,49,3,3,0,0,0,1
2016-08-20,1076,180,1083,135,359,34,53,3,2,0,1,0,1
2016-08-17,1135,171,1038,125,356,36,59,2,4,0,0,0,1
2016-08-13,1076,180,1077,148,353,33,53,5,1,0,0,0,1
2016-08-10,1134,168,1036,147,362,29,45,4,1,0,0,0,1
2016-08-06,1108,177,1032,139,363,50,52,4,1,0,0,0,1
2016-08-03,1124,189,1047,153,313,39,52,6,2,1,0,0,1
2016-07-30,1108,170,1082,123,346,42,51,3,1,0,0,0,1
2016-07-27,1096,153,1099,131,339,42,56,6,4,0,0,0,1
2016-07-23,1063,203,1076,137,356,43,42,2,4,0,0,0,1
2016-07-20,1096,187,1049,120,370,39,60,3,2,0,0,0,1
2016-07-16,1056,175,1103,136,372,27,53,2,2,0,0,0,1
2016-07-13,1066,175,1079,144,360,44,50,6,2,0,0,0,1
2016-07-09,1095,179,1109,136,312,37,49,6,3,0,0,0,1
2016-07-06,1118,180,1012,144,379,43,45,3,2,0,0,0,1
2016-07-02,1050,170,1127,151,338,41,44,5,0,0,0,0,1
2016-06-29,1136,184,1041,144,332,32,51,5,1,0,0,0,1
2016-06-25,1066,164,1092,148,375,37,41,1,2,0,0,0,1
2016-06-22,1065,183,1080,135,372,44,40,2,5,0,0,0,1
2016-06-18,1087,169,1093,147,358,30,32,5,5,0,0,0,1
2016-06-15,1074,197,1066,155,343,42,45,2,2,0,0,0,1
2016-06-11,1077,168,1086,131,370,36,49,4,5,0,0,0,1
2016-06-08,1099,156,1096,131,349,37,51,1,6,0,0,0,1
2016-06-04,1040,185,1096,137,383,41,37,2,5,0,0,0,1
2016-06-01,1081,183,1026,137,391,41,61,2,4,0,0,0,1
2016-05-28,1051,172,1115,132,367,38,45,1,5,0,0,0,1
2016-05-25,1116,185,1074,137,309,44,56,2,3,0,0,0,1
2016-05-21,1102,167,1113,131,345,22,43,2,1,0,0,0,1
2016-05-18,1072,180,1105,127,349,39,50,3,1,0,0,0,1
2016-05-14,1106,181,1082,134,353,30,34,4,2,0,0,0,1
